POINT_X;POINT_Y;CLASS
441468.7125;7184281.005;ASS
441852.3101;7186002.327;ASS
442236.5012;7185249.359;ASS
420520.3581;7208257.978;ASS
421346.5424;7186579.062;ASS
441843.0638;7191081.929;ASS
435445.1552;7188184.086;ASS
425919.8872;7187170.927;ASS
411565.6934;7167966.264;ASS
411944.0983;7167336.98;ASS
414179.7138;7166257.319;ASS
414645.7651;7164342.602;ASS
408965.2545;7170079.694;ASS
411623.6592;7172762.267;ASS
410912.0728;7172804.511;ASS
410311.7233;7172959.958;ASS
410476.137;7169891.185;ASS
410590.9702;7171507.176;ASS
410990.6318;7168262.037;ASS
412365.2883;7169609.214;ASS
413617.2099;7163843.576;ASS
413602.7436;7163845.846;ASS
414009.47;7163045.832;ASS
413936.6281;7163423.081;ASS
414603.7413;7163603.452;ASS
412834.3728;7166344.187;ASS
411592.68;7169609.367;ASS
410996.3385;7170016.158;ASS
410814.9575;7171172.938;ASS
412309.7829;7168842.402;ASS
411024.9198;7169109.183;ASS
414769.3451;7165477.454;ASS
413948.7968;7164964.55;ASS
413377.7764;7164923.561;ASS
413493.6385;7169191.179;ASS
413600.9184;7168763.682;ASS
412804.4924;7168059.153;ASS
413813.8509;7167056.908;ASS
416981.5915;7168402.696;ASS
416402.0011;7168305.278;ASS
416456.0796;7166118.502;ASS
414895.5293;7168523.747;ASS
414897.5832;7168525.919;ASS
415834.7944;7166742.768;ASS
419227.1948;7169269.427;ASS
418651.2921;7171695.109;ASS
414057.8716;7168641.79;ASS
413869.6568;7168358.17;ASS
414123.5444;7167605.978;ASS
414945.0358;7167731.292;ASS
415464.3937;7167329.502;ASS
417203.554;7167437.967;ASS
423607.3137;7169533.182;ASS
423003.5591;7168480.8;ASS
422039.3676;7168170.805;ASS
421174.9963;7169710.339;ASS
421621.7741;7170361.543;ASS
420445.5786;7171096.091;ASS
421224.105;7170942.315;ASS
423278.5682;7170099.109;ASS
423868.5555;7163970.922;ASS
419296.5967;7170970.047;ASS
418868.3218;7170353.797;ASS
418360.3385;7168941.466;ASS
419212.4376;7168632.278;ASS
420595.8938;7170268.421;ASS
422305.7168;7169806.36;ASS
421105.1302;7168642.795;ASS
423734.8758;7168583.639;ASS
423069.0243;7167140.743;ASS
422723.0784;7166688.73;ASS
422433.1532;7166407.01;ASS
422310.947;7165901.944;ASS
421611.0674;7166758.709;ASS
418260.6091;7165764.22;ASS
418999.7793;7164532.303;ASS
419170.4429;7164988.58;ASS
419521.7753;7165661.19;ASS
419152.6254;7166305.015;ASS
420106.1708;7166233.106;ASS
419855.8809;7166912.923;ASS
421496.1415;7167482.267;ASS
417621.4214;7166250.15;ASS
417994.3458;7165025.154;ASS
418348.964;7164365.782;ASS
417396.8112;7169232.38;ASS
417737.2073;7168681.634;ASS
420128.9535;7169009.715;ASS
417682.0243;7166789.987;ASS
418223.5638;7170266.153;ASS
418541.6418;7169672.99;ASS
420973.3884;7167863.577;ASS
419861.2929;7166918.54;ASS
418971.1152;7167121.327;ASS
419338.534;7167733.833;ASS
418367.6186;7167536.577;ASS
420094.3823;7167320.255;ASS
434052.4283;7246491.711;ASS
444157.7632;7254069.394;ASS
446396.9777;7253794.785;ASS
448159.9888;7250286.57;ASS
448200.2416;7250031.356;ASS
449989.3148;7250542.892;ASS
451307.7406;7249203.675;ASS
447242.1846;7247708.098;ASS
451408.1006;7247170.087;ASS
452619.0408;7248625.743;ASS
452606.6823;7249247.916;ASS
454983.3347;7249364.441;ASS
454054.2178;7250116.761;ASS
454318.5188;7251114.21;ASS
447062.0648;7251431.292;ASS
447064.7117;7251424.342;ASS
445657.8141;7252783.841;ASS
438830.1142;7240955.523;ASS
439870.8942;7242033.675;ASS
440903.6513;7243093.568;ASS
441730.8299;7242569.346;ASS
455771.6464;7254687.564;ASS
454760.837;7245618.774;ASS
453408.3678;7244574.516;ASS
454073.6604;7243627.931;ASS
437754.1233;7241262.535;ASS
455378.5551;7242788.921;ASS
456453.7282;7242405.024;ASS
459244.8053;7244643.058;ASS
461048.4285;7248115.484;ASS
458363.9435;7246321.554;ASS
457799.8192;7247610.836;ASS
457978.4973;7248929.239;ASS
461313.6749;7247131.213;ASS
447055.0927;7252569.109;ASS
447509.3448;7254042.909;ASS
449133.9164;7255648.492;ASS
450316.2289;7256119.298;ASS
451633.4144;7255958.067;ASS
448071.5592;7258193.327;ASS
442016.8661;7246943.688;ASS
442019.9767;7246942.74;ASS
447000.3126;7257813.569;ASS
446231.8074;7258539.362;ASS
447499.5394;7258825.884;ASS
448028.8392;7257136.112;ASS
447610.9005;7255013.644;ASS
447249.7254;7255931.588;ASS
448935.8887;7259261.591;ASS
449687.8513;7257980.068;ASS
453939.8751;7259524.292;ASS
454721.12;7259312.062;ASS
451927.7973;7262579.047;ASS
451389.203;7264341.395;ASS
450258.3141;7264629.092;ASS
457666.3631;7252757.884;ASS
456728.0524;7261339.291;ASS
461033.7574;7258132.35;ASS
460704.0768;7257332.967;ASS
441408.8172;7250659.694;ASS
440967.3746;7248029.731;ASS
462180.6674;7245355.183;ASS
465394.4456;7246256.944;ASS
462387.9923;7246443.512;ASS
462444.95;7247411.705;ASS
465772.2763;7248309.086;ASS
468385.0134;7247372.205;ASS
441159.7056;7249368.246;ASS
456879.8461;7257045.285;ASS
453165.6671;7265050.047;ASS
454114.2648;7264084.056;ASS
464750.3661;7251929.404;ASS
460647.6449;7260393.669;ASS
443320.5377;7249840.713;ASS
442113.222;7252764.833;ASS
443936.7104;7243726.944;ASS
451389.6058;7245610.718;ASS
448833.6879;7247312.316;ASS
445345.936;7243665.094;ASS
445451.1208;7245500.451;ASS
443359.2759;7245096.376;ASS
443003.5723;7243221.135;ASS
443709.4672;7242396.719;ASS
443373.1127;7240732.131;ASS
447423.3089;7234545.807;ASS
440387.5292;7236784.345;ASS
440164.7921;7239520.486;ASS
443983.1369;7238043.901;ASS
461491.633;7229612.891;ASS
457560.6136;7229310.461;ASS
457152.7791;7233095.315;ASS
445337.5829;7247290.44;ASS
443949.7629;7246219.795;ASS
451392.9857;7232511.579;ASS
442522.255;7237088.444;ASS
442515.6439;7237092.846;ASS
441632.5931;7238153.916;ASS
433512.7318;7243564.153;ASS
433808.3656;7241375.87;ASS
441521.4903;7245184.417;ASS
440199.4585;7244966.417;ASS
440980.6317;7245933.61;ASS
431360.136;7246107.39;ASS
434348.3399;7241939.631;ASS
444179.7804;7249051.681;ASS
432622.0909;7246124.552;ASS
432878.5786;7245639.332;ASS
445664.7094;7248471.235;ASS
444407.8166;7246785.285;ASS
456695.8727;7228143.738;ASS
455796.8088;7230703.479;ASS
437116.3448;7301700.171;ASS
437268.9734;7301995.629;ASS
437292.4946;7302385.152;ASS
438234.6351;7302410.974;ASS
437116.9344;7304208.93;ASS
437870.5363;7303073.483;ASS
438382.8339;7302826.25;ASS
438440.8527;7302521.376;ASS
428174.0744;7304276.235;ASS
429780.0325;7303829.638;ASS
429452.2298;7303689.577;ASS
428983.408;7303626.635;ASS
421644.5367;7295618.177;ASS
420295.668;7294164.716;ASS
417231.7052;7290696.691;ASS
416561.7465;7291349.603;ASS
416884.084;7290021.067;ASS
418006.5053;7290703.721;ASS
421549.3018;7293650.963;ASS
420395.6158;7291666.904;ASS
419952.8253;7291966.129;ASS
420444.465;7292128.88;ASS
416313.7171;7290474.338;ASS
415521.2598;7289640.826;ASS
417130.8123;7289552.295;ASS
420792.9217;7292610.29;ASS
421125.2361;7293003.16;ASS
420599.2755;7293265.542;ASS
422161.109;7294629.75;ASS
422136.5602;7295232.374;ASS
422654.3197;7295233.645;ASS
423327.8504;7298722.333;ASS
422936.4045;7298026.963;ASS
422716.4023;7294548.619;ASS
423550.513;7297720.637;ASS
423113.7547;7297493.293;ASS
423262.6384;7298188.28;ASS
474305.0442;7176493.427;ASS
472741.6953;7180177.349;ASS
471487.0924;7179124.879;ASS
475688.8496;7176894.478;ASS
469643.9007;7175360.245;ASS
470955.7326;7174730.458;ASS
473268.6072;7177349.937;ASS
467186.3951;7161240.519;ASS
472075.9803;7181812.487;ASS
464422.8881;7169823.144;ASS
462547.3227;7170045.372;ASS
462310.3794;7172615.439;ASS
462419.0866;7174368.796;ASS
463283.593;7173793.791;ASS
459806.0121;7179788.882;ASS
458848.5073;7179826.205;ASS
465495.1627;7184800.397;ASS
464974.1568;7161807.846;ASS
465448.19;7162886.071;ASS
465766.3694;7163599.169;ASS
438381.0408;7164600.414;ASS
439143.7521;7164904.219;ASS
437315.7331;7165042.135;ASS
439971.2718;7163449.861;ASS
438217.3596;7166016.873;ASS
454109.3701;7172765.055;ASS
455083.6898;7171911.188;ASS
442420.8182;7167815.534;ASS
442834.8889;7168640.223;ASS
440868.6138;7168900.506;ASS
442874.1705;7170009.67;ASS
445311.3956;7171533.826;ASS
480854.5912;7163918.477;ASS
480272.1558;7165043.491;ASS
464605.4987;7163739.122;ASS
463043.6208;7165909.638;ASS
430599.0229;7169301.617;ASS
475120.8782;7173604.158;ASS
471893.9678;7174461.502;ASS
466082.444;7167654.099;ASS
467744.9048;7166212.53;ASS
463095.7737;7172323.798;ASS
469458.4982;7177841.482;ASS
468809.5205;7177230.289;ASS
468189.2849;7177985.861;ASS
467215.6039;7178357.069;ASS
462887.4994;7180179.889;ASS
462955.9274;7179171.946;ASS
462018.0407;7178946.718;ASS
463174.1523;7177807.938;ASS
433788.0205;7172042.807;ASS
432500.9777;7176122.451;ASS
433411.0425;7177081.941;ASS
432340.274;7177297.593;ASS
435631.6412;7170790.765;ASS
452777.4533;7152499.393;ASS
437973.4456;7174545.69;ASS
436797.3349;7174624.549;ASS
