CLASS,geometry
ASS,POINT (25.768937832725747 64.77798766173387)
ASS,POINT (25.77630416654702 64.79349633623737)
ASS,POINT (25.784691167397362 64.7868078298281)
ASS,POINT (25.315115332474953 64.98873249710591)
ASS,POINT (25.34464083219981 64.79448750243044)
ASS,POINT (25.774040000342353 64.83906366747914)
ASS,POINT (25.640526150101017 64.811895782915)
ASS,POINT (25.44054126738703 64.8008377853481)
ASS,POINT (25.150344999466586 64.62512333103844)
ASS,POINT (25.158636665687897 64.61957833537909)
ASS,POINT (25.20599666600523 64.61047000433796)
ASS,POINT (25.216858332885085 64.5934149992143)
ASS,POINT (25.094663332175056 64.64338667024643)
ASS,POINT (25.14862833388535 64.66815166797562)
ASS,POINT (25.13370500003926 64.6683433300786)
ASS,POINT (25.12104000022093 64.66957833064326)
ASS,POINT (25.126381667187058 64.64210000107923)
ASS,POINT (25.12778499977845 64.65662333007833)
ASS,POINT (25.138143334192517 64.6276249995881)
ASS,POINT (25.16606500050333 64.64006666632818)
ASS,POINT (25.195679999219344 64.58867833646211)
ASS,POINT (25.195376667339936 64.58869500363852)
ASS,POINT (25.204339999825706 64.58162333552107)
ASS,POINT (25.202596665776966 64.58498833192364)
ASS,POINT (25.21641499914938 64.58677500306244)
ASS,POINT (25.177838333677293 64.6109049985771)
ASS,POINT (25.149906666567276 64.6398666677095)
ASS,POINT (25.137184999679828 64.64335833132027)
ASS,POINT (25.132678333515837 64.65368500461747)
ASS,POINT (25.16536833365574 64.63317500227771)
ASS,POINT (25.13833999983522 64.63523166407631)
ASS,POINT (25.21877292107623 64.60362457306752)
ASS,POINT (25.201938332632547 64.59881666582744)
ASS,POINT (25.190038334332883 64.59830333148568)
ASS,POINT (25.189913333691045 64.6366083315238)
ASS,POINT (25.19241166664417 64.63280166758204)
ASS,POINT (25.176183332361386 64.62627833424918)
ASS,POINT (25.19787833255082 64.6175483301722)
ASS,POINT (25.26330666767118 64.63041166206395)
ASS,POINT (25.25124500089925 64.62939499977877)
